Samples	axisX	axisY	axisZ	DB	Tissue
GSM1807975	0.6499483	10.32899	-5.524326	GEO	Liver
GSM1807976	0.6498547	10.329857	-5.524534	GEO	Liver
GSM1807977	0.6499988	10.329048	-5.524475	GEO	Liver
GSM1807978	0.65009755	10.329058	-5.524197	GEO	Liver
GSM1807979	0.6500966	10.329144	-5.5241494	GEO	Liver
GSM1807980	0.65008545	10.329007	-5.5244474	GEO	Liver
GSM1807981	0.6500498	10.328935	-5.524322	GEO	Liver
GSM1807982	0.6499559	10.329242	-5.5243897	GEO	Liver
GSM1807984	0.6499733	10.329032	-5.5243993	GEO	Liver
GSM1807985	0.6500192	10.328978	-5.5243945	GEO	Liver
GSM1807986	0.6500073	10.329202	-5.5243626	GEO	Liver
GSM1807987	0.65006965	10.328938	-5.5242767	GEO	Liver
GSM1807989	0.65010095	10.329233	-5.524293	GEO	Liver
GSM1807990	0.6500163	10.328987	-5.5243716	GEO	Liver
GSM1807991	0.64991796	10.329283	-5.5243444	GEO	Liver
GSM1807992	0.6500505	10.32912	-5.5243006	GEO	Liver
GSM1807993	0.6500413	10.328967	-5.524343	GEO	Liver
GSM1807994	0.65003765	10.328963	-5.5243373	GEO	Liver
GSM1807996	9.881626	3.701187	5.071033	GEO	Liver
GSM1811424	9.842947	3.7083938	5.0645247	GEO	Kidney
GSM1811425	9.8536215	3.6905525	5.044285	GEO	Kidney
GSM1811426	9.833275	3.7156208	5.065553	GEO	Kidney
GSM1811427	9.906974	3.6727972	5.0563745	GEO	Kidney
GSM1811428	9.888916	3.6807985	5.052376	GEO	Kidney
GSM1811429	9.893968	3.6722486	5.0573096	GEO	Kidney
GSM1811430	9.881821	3.664247	5.044717	GEO	Kidney
GSM1811431	6.4658256	10.7867565	6.9768786	GEO	Kidney
GSM1841251	-0.63407075	12.180097	-0.12966432	GEO	Heart
GSM1841261	-0.60981244	12.202165	-0.13377777	GEO	Heart
GSM1841263	-0.52520823	12.276557	-0.16568321	GEO	Heart
GSM1841266	-0.58289343	12.225175	-0.14265211	GEO	Heart
GSM1841268	-0.6517921	12.161943	-0.10465873	GEO	Heart
GSM1841270	-0.5848758	12.22505	-0.14612864	GEO	Heart
GSM1841273	9.750667	1.6889278	6.0688114	GEO	Heart
GSM1849373	9.771976	1.6660581	6.088913	GEO	Liver
GSM1849374	9.779395	1.6859182	6.1094174	GEO	Liver
GSM1849375	7.678191	-4.7381477	6.47909	GEO	Liver
GSM1859138	7.6779103	-4.737707	6.4790225	GEO	Skin
GSM1859139	7.6779737	-4.7378626	6.4789886	GEO	Skin
GSM1859140	10.127413	3.6721473	5.317108	GEO	Skin
GSM1859141	10.340565	3.8582766	5.4833755	GEO	Skin
GSM1859142	10.143648	3.653218	5.3128185	GEO	Skin
GSM1859143	4.186106	4.04865	5.9880986	GEO	Skin
GSM1872096	4.3133416	4.0090685	5.901273	GEO	Pancreas
GSM1872097	2.891474	4.2343793	6.6302905	GEO	Pancreas
GSM1872098	7.007033	8.2827835	7.0741925	GEO	Pancreas
GSM1872099	7.006264	8.306995	7.0945897	GEO	Pancreas
GSM1872100	6.736963	7.2952065	6.9948106	GEO	Pancreas
GSM1872101	5.97453	5.4477477	5.5750327	GEO	Pancreas
GSM1872102	6.0163035	5.456414	5.559642	GEO	Pancreas
GSM1872103	5.9616466	5.4763446	5.5742655	GEO	Pancreas
GSM1872104	4.3450828	4.0382595	5.9059315	GEO	Pancreas
GSM1872105	4.337545	4.0341363	5.9064164	GEO	Pancreas
GSM1872106	4.364638	4.032938	5.903253	GEO	Pancreas
GSM1872107	4.319489	4.060212	5.8891315	GEO	Pancreas
GSM1872108	4.268763	4.0865073	5.9236465	GEO	Pancreas
GSM1872109	4.323058	4.0613594	5.8912764	GEO	Pancreas
GSM1872110	6.218208	6.1731606	6.6140256	GEO	Pancreas
GSM1872111	6.3418427	6.3600173	6.7032294	GEO	Pancreas
GSM1872112	6.230601	6.253152	6.685238	GEO	Pancreas
GSM1872113	5.999553	5.498177	5.595555	GEO	Pancreas
GSM1872114	5.965143	5.4987416	5.637144	GEO	Pancreas
GSM1872115	5.9995184	5.481859	5.600094	GEO	Pancreas
GSM1872116	11.801583	0.4218483	2.3322234	GEO	Pancreas
GSM1899707	11.737215	0.49460682	2.324489	GEO	Breast
GSM1899708	11.800401	0.4228041	2.3277707	GEO	Breast
GSM1899709	11.806635	0.41414395	2.327554	GEO	Breast
GSM1899710	11.829363	0.38298592	2.329343	GEO	Breast
GSM1899711	11.8281975	0.3844434	2.3289387	GEO	Breast
GSM1899712	11.7641735	0.45129484	2.248478	GEO	Breast
GSM1899713	11.774141	0.43886057	2.2497582	GEO	Breast
GSM1899714	11.772216	0.44417936	2.2506115	GEO	Breast
GSM1899715	11.771937	0.44309208	2.2534962	GEO	Breast
GSM1899716	11.830516	0.38136196	2.3294203	GEO	Breast
GSM1899717	11.797137	0.42892838	2.3383832	GEO	Breast
GSM1899718	8.221897	-5.04664	7.7441144	GEO	Breast
GSM1899719	8.221887	-5.0466595	7.744074	GEO	Breast
GSM1899720	8.221989	-5.0468426	7.7441907	GEO	Breast
GSM1899721	8.221867	-5.046668	7.7441335	GEO	Breast
GSM1899722	8.222027	-5.0467186	7.744304	GEO	Breast
GSM1899723	8.222016	-5.0466275	7.744322	GEO	Breast
GSM1899724	10.243125	10.060879	-3.2474792	GEO	Breast
GSM1899725	10.242903	10.0621195	-3.2481623	GEO	Breast
GSM1899726	10.243406	10.063654	-3.249154	GEO	Breast
GSM1899727	10.2436495	10.065624	-3.2501943	GEO	Breast
GSM1899728	10.243805	10.065362	-3.2501488	GEO	Breast
GSM1899729	11.782369	0.4350751	2.2543714	GEO	Breast
GSM1899730	11.754089	0.4710658	2.3056452	GEO	Breast
GSM1899731	11.778656	0.43787724	2.25422	GEO	Breast
GSM1899732	11.755606	0.46896765	2.2995377	GEO	Breast
GSM1899733	11.785928	0.4359196	2.2629411	GEO	Breast
GSM1899734	11.78662	0.433819	2.2547393	GEO	Breast
GSM1899735	11.733126	0.5140649	2.35745	GEO	Breast
GSM1899736	11.738433	0.50294876	2.3453615	GEO	Breast
GSM1899737	1.3866513	10.447727	-1.6101888	GEO	Breast
GSM1899738	11.731261	0.5240461	2.3699794	GEO	Breast
GSM1899739	11.743317	0.49128106	2.3319547	GEO	Breast
GSM1899740	11.736051	0.51357436	2.3588035	GEO	Breast
GSM1899741	12.55974	7.57281	7.4503984	GEO	Breast
GSM1899742	12.560502	7.573017	7.4508996	GEO	Breast
GSM1899743	11.746803	0.48433068	2.3210986	GEO	Breast
GSM1899744	12.559644	7.573382	7.4497914	GEO	Breast
GSM1899745	1.3868665	10.44761	-1.6105093	GEO	Breast
GSM1899746	1.3866163	10.447688	-1.6101568	GEO	Breast
GSM1899747	11.770712	0.45790097	2.3300643	GEO	Breast
GSM1899748	11.775945	0.44857633	2.3145812	GEO	Breast
GSM1899749	11.773659	0.45307368	2.32683	GEO	Breast
GSM1899750	11.7734165	0.45290878	2.3261096	GEO	Breast
GSM1899751	11.770696	0.45576012	2.3261955	GEO	Breast
GSM1899752	11.762057	0.46577677	2.324049	GEO	Breast
GSM1899753	6.2080164	-2.1743376	-0.41616186	GEO	Breast
GSM1941362	6.1252656	-2.1610518	-0.42033604	GEO	Blood
GSM1941363	6.14683	-2.1442952	-0.45067996	GEO	Blood
GSM1941364	6.1857557	-2.165294	-0.4838601	GEO	Blood
GSM1941365	6.19506	-2.1524482	-0.46864802	GEO	Blood
GSM1941366	6.1705933	-2.155475	-0.5267431	GEO	Blood
GSM1941367	3.631265	1.3446486	5.875086	GEO	Blood
GSM1941368	6.1328382	-2.2246268	-0.6091323	GEO	Blood
GSM1941369	6.1316876	-2.1949735	-0.5781554	GEO	Blood
GSM1941370	0.35659927	11.744958	4.407336	GEO	Blood
GSM1941671	0.21488144	11.412532	5.638155	GEO	Kidney
GSM1941672	3.274796	10.94748	-0.90365607	GEO	Kidney
GSM2048413	3.2747579	10.946471	-0.90337414	GEO	Brain
GSM2048414	3.275038	10.94564	-0.9027628	GEO	Brain
GSM2048415	14.690302	3.164216	8.984699	GEO	Brain
GSM2048416	14.690392	3.16417	8.984527	GEO	Brain
GSM2048417	14.690188	3.1642244	8.984593	GEO	Brain
GSM2048418	8.412862	3.288792	4.953442	GEO	Brain
GSM2048419	8.412367	3.2923117	4.946858	GEO	Brain
GSM2048420	8.406161	3.2896113	4.9486575	GEO	Brain
GSM2048421	8.521318	11.500271	-1.1729604	GEO	Brain
GSM2048422	8.521012	11.501348	-1.1735276	GEO	Brain
GSM2048423	8.521059	11.501239	-1.1735247	GEO	Brain
GSM2048424	0.6050865	1.6769153	2.6718128	GEO	Brain
GSM2055779	5.5605125	8.381171	7.3155084	GEO	Brain
GSM2055781	9.938941	1.2404387	6.022546	GEO	Heart
GSM2055782	0.5611507	12.715568	7.491557	GEO	Liver
GSM2055783	-0.9271309	2.7956674	1.6938416	GEO	Lung
GSM2055784	0.6172595	1.6533808	2.6832254	GEO	Stomach
GSM2055785	5.5629506	8.407802	7.318151	GEO	Brain
GSM2055787	9.910321	1.2127088	5.984784	GEO	Heart
GSM2055788	0.55826867	12.714425	7.4767857	GEO	Liver
GSM2055789	-0.90503234	2.7990515	1.6946877	GEO	Lung
GSM2055790	8.419933	3.2882445	4.9545774	GEO	Stomach
GSM2064645	8.4174185	3.2944806	4.9466577	GEO	Brain
GSM2064646	8.400518	3.2887456	4.949862	GEO	Brain
GSM2064647	8.521139	11.500161	-1.1725924	GEO	Brain
GSM2064648	8.52111	11.501309	-1.1735262	GEO	Brain
GSM2064649	8.521046	11.501189	-1.1734865	GEO	Brain
GSM2064650	8.504528	3.3084533	4.946997	GEO	Brain
GSM2064651	8.462505	3.302578	4.940839	GEO	Brain
GSM2064652	8.471553	3.308743	4.935746	GEO	Brain
GSM2064653	3.2748008	10.947046	-0.9033255	GEO	Brain
GSM2064654	3.2741454	10.94794	-0.9042619	GEO	Brain
GSM2064655	3.275127	10.945	-0.9025565	GEO	Brain
GSM2064656	14.690187	3.1642096	8.984696	GEO	Brain
GSM2064657	14.6903515	3.1642437	8.984704	GEO	Brain
GSM2064658	14.690222	3.1642153	8.984647	GEO	Brain
GSM2064659	3.2753484	10.947143	-0.9017025	GEO	Brain
GSM2064660	3.2752485	10.9461355	-0.9024965	GEO	Brain
GSM2064661	3.2752826	10.946609	-0.9027173	GEO	Brain
GSM2064662	6.7928596	5.4637814	6.2976627	GEO	Brain
GSM2081423	6.7396107	5.3895082	6.2792253	GEO	Brain
GSM2081424	6.593071	10.751233	7.291546	GEO	Brain
GSM2081425	5.202313	3.7879663	5.5165687	GEO	Brain
GSM2081426	6.8885245	10.148355	7.034079	GEO	Brain
GSM2081427	6.867867	5.923439	6.414525	GEO	Brain
GSM2081428	6.7177105	5.365802	6.2780457	GEO	Brain
GSM2081429	6.7904596	5.5103445	6.313424	GEO	Brain
GSM2081430	6.83982	5.770302	6.3819127	GEO	Brain
GSM2081431	6.6997085	5.3468833	6.264116	GEO	Brain
GSM2081432	5.5454683	11.8556385	7.8670044	GEO	Brain
GSM2081433	6.884234	5.956072	6.422639	GEO	Brain
GSM2081434	7.1302276	8.150695	6.887403	GEO	Brain
GSM2081435	6.822416	5.9091163	6.3941894	GEO	Brain
GSM2081436	6.612223	5.286956	6.2426624	GEO	Brain
GSM2081437	6.8560777	5.8985286	6.40389	GEO	Brain
GSM2081438	6.861863	5.90271	6.4057	GEO	Brain
GSM2081439	6.6543064	5.9394727	6.4163246	GEO	Brain
GSM2081440	6.8243575	6.0140643	6.4396625	GEO	Brain
GSM2081441	5.477361	4.2338023	5.653196	GEO	Brain
GSM2081442	6.867495	5.9677773	6.4270167	GEO	Brain
GSM2081443	6.5371027	6.360914	6.553728	GEO	Brain
GSM2081444	6.769099	5.422465	6.290881	GEO	Brain
GSM2081445	6.7258244	5.750784	6.338285	GEO	Brain
GSM2081446	6.7455173	5.432419	6.289897	GEO	Brain
GSM2081447	6.9435873	7.684523	6.7395988	GEO	Brain
GSM2081448	6.858669	5.9461927	6.4170504	GEO	Brain
GSM2081449	6.6836276	5.3452992	6.2593064	GEO	Brain
GSM2081450	5.6936045	4.553388	5.918735	GEO	Brain
GSM2081451	6.758578	5.983801	6.4264693	GEO	Brain
GSM2081452	6.8746867	5.98928	6.430131	GEO	Brain
GSM2081453	6.7481914	5.598228	6.3330398	GEO	Brain
GSM2081454	6.7535315	5.74171	6.3495154	GEO	Brain
GSM2081455	6.806648	5.6838784	6.361219	GEO	Brain
GSM2081456	6.6852055	5.3808904	6.2707486	GEO	Brain
GSM2081457	6.7463217	5.4217806	6.283299	GEO	Brain
GSM2081458	6.8077807	5.7492056	6.37193	GEO	Brain
GSM2081459	6.7439933	5.5148344	6.2928348	GEO	Brain
GSM2081460	6.8392987	5.968567	6.418642	GEO	Brain
GSM2081461	6.875625	5.96977	6.4260883	GEO	Brain
GSM2081462	5.940179	4.9225445	6.11075	GEO	Brain
GSM2081463	7.0353794	7.8201795	6.7800636	GEO	Brain
GSM2081464	6.827965	6.025686	6.438114	GEO	Brain
GSM2081465	6.791999	5.48424	6.301404	GEO	Brain
GSM2081466	6.843914	10.300488	7.1246157	GEO	Brain
GSM2081467	7.0080614	8.33562	6.948882	GEO	Brain
GSM2081468	6.5184855	6.5019064	6.588447	GEO	Brain
GSM2081469	5.8581395	5.164448	6.186527	GEO	Brain
GSM2081470	6.8664894	7.3860226	6.9316797	GEO	Brain
GSM2081471	6.5967813	9.1543255	7.0869684	GEO	Brain
GSM2081472	6.470457	5.979691	6.122192	GEO	Brain
GSM2081473	6.6150866	6.8718286	6.763798	GEO	Brain
GSM2081474	6.8277726	7.3495755	6.895862	GEO	Brain
GSM2081475	6.8152685	7.330444	6.8948073	GEO	Brain
GSM2081476	6.621375	6.592702	6.7018166	GEO	Brain
GSM2081477	7.02299	8.524771	6.9511194	GEO	Brain
GSM2081478	6.423758	6.188716	6.423268	GEO	Brain
GSM2081479	6.380016	6.314818	6.488756	GEO	Brain
GSM2081480	6.3591537	5.006263	5.0787926	GEO	Brain
